image_path,breed,age_range
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_1.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_2.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_3.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_4.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_5.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_6.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_7.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_8.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_9.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_10.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_11.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_12.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_13.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_14.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_15.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_16.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_17.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_18.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_19.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_20.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_21.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_22.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_23.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_24.jpg,Akita Inu,0-1
IMAGENES/Akita Inu/0-1 anos/AkitaInu01_25.jpg,Akita Inu,0-1
